label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Astragalus racemosus,Astragalus racemosus,Astragalus racemosus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus racemosus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus sericoleucus,Astragalus sericoleucus,Astragalus sericoleucus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus sericoleucus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus shortianus,Astragalus shortianus,Astragalus shortianus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus shortianus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Astragalus sparsiflorus,Astragalus sparsiflorus,Astragalus sparsiflorus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus sparsiflorus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus spatulatus,Astragalus spatulatus,Astragalus spatulatus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus spatulatus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Astragalus tridactylicus,Astragalus tridactylicus,Astragalus tridactylicus,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus tridactylicus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Atriplex argentea,Atriplex argentea,Atriplex argentea,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Atriplex argentea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Atriplex canescens,Atriplex canescens,Atriplex canescens,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Atriplex canescens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Atriplex confertifolia,Atriplex confertifolia,Atriplex confertifolia,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Atriplex confertifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Atriplex dioica,Atriplex dioica,Atriplex dioica,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Atriplex dioica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Atriplex gardneri,Atriplex gardneri,Atriplex gardneri,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Atriplex gardneri,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Atriplex hortensis,Atriplex hortensis,Atriplex hortensis,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Atriplex hortensis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Atriplex micrantha,Atriplex micrantha,Atriplex micrantha,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Atriplex micrantha,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
